"","Variable","Description","URL","Levels","Category","UKB.dataset.ID","Field.ID","Notes","Description.1","Years.collected","UKB.Assessment","UKB.Category"
"659","prospective_memory","Prospective memory result","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20018",NA,"Cognitive function","f.20018.0.0",20018,"",NA,"2006-2010","ACE/Cognitive function","Prospective memory"
"660","incorrect_matches_round1","Number of incorrect matches in round","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=399",NA,"Cognitive function","f.399.0.1",399,"",NA,"2006-2010","ACE/Cognitive function","Pairs matching"
"661","incorrect_matches_round2","Number of incorrect matches in round","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=399",NA,"Cognitive function","f.399.0.2",399,"",NA,"","",""
"687","townsend_deprivation_index","Townsend deprivation index at recruitment","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=189",NA,"Material deprivation","f.189.0.0",189,"",NA,"2006-2010","Population characteristics","Baseline characteristics"
"688","alanine_aminotransferase","Alanine aminotransferase","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30620",NA,"Blood biomarkers","f.30620.0.0",30620,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"689","albumin","Albumin","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30600",NA,"Blood biomarkers","f.30600.0.0",30600,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"690","alkaline_phosphatase","Alkaline phosphatase","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30610",NA,"Blood biomarkers","f.30610.0.0",30610,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"691","apolipoprotein_A","Apolipoprotein A","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30630",NA,"Blood biomarkers","f.30630.0.0",30630,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"692","apolipoprotein_B","Apolipoprotein B","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30640",NA,"Blood biomarkers","f.30640.0.0",30640,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"693","aspartate_aminotransferase","Aspartate aminotransferase","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30650",NA,"Blood biomarkers","f.30650.0.0",30650,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"694","C_reactive_protein","C-reactive protein","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30710",NA,"Blood biomarkers","f.30710.0.0",30710,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"695","calcium","Calcium","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30680",NA,"Blood biomarkers","f.30680.0.0",30680,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"696","cholesterol","Cholesterol","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30690",NA,"Blood biomarkers","f.30690.0.0",30690,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"697","creatinine","Creatinine","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30700",NA,"Blood biomarkers","f.30700.0.0",30700,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"698","cystatin_C","Cystatin C","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30720",NA,"Blood biomarkers","f.30720.0.0",30720,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"699","direct_bilirubin","Direct bilirubin","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30660",NA,"Blood biomarkers","f.30660.0.0",30660,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"700","gamma_glutamyltransferase","Gamma glutamyltransferase","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30730",NA,"Blood biomarkers","f.30730.0.0",30730,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"701","glucose","Glucose","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30740",NA,"Blood biomarkers","f.30740.0.0",30740,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"702","hbA1c","Glycated haemoglobin (HbA1c)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30750",NA,"Blood biomarkers","f.30750.0.0",30750,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"703","HDL_cholesterol","HDL cholesterol","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30760",NA,"Blood biomarkers","f.30760.0.0",30760,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"704","IGF1","IGF-1","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30770",NA,"Blood biomarkers","f.30770.0.0",30770,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"705","LDL_direct","LDL direct","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30780",NA,"Blood biomarkers","f.30780.0.0",30780,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"706","lipoprotein_A","Lipoprotein A","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30790",NA,"Blood biomarkers","f.30790.0.0",30790,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"708","phosphate","Phosphate","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30810",NA,"Blood biomarkers","f.30810.0.0",30810,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"710","SHBG","SHBG","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30830",NA,"Blood biomarkers","f.30830.0.0",30830,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"711","testosterone","Testosterone","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30850",NA,"Blood biomarkers","f.30850.0.0",30850,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"712","total_bilirubin","Total bilirubin","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30840",NA,"Blood biomarkers","f.30840.0.0",30840,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"713","total_protein","Total protein","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30860",NA,"Blood biomarkers","f.30860.0.0",30860,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"714","triglycerides","Triglycerides","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30870",NA,"Blood biomarkers","f.30870.0.0",30870,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"715","urate","Urate","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30880",NA,"Blood biomarkers","f.30880.0.0",30880,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"716","urea","Urea","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30670",NA,"Blood biomarkers","f.30670.0.0",30670,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"717","vitamin_D","Vitamin D","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30890",NA,"Blood biomarkers","f.30890.0.0",30890,"",NA,"2006-2010","Biological samples/Assay results","Blood biochemistry"
"718","basophill_count","Basophill count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30160",NA,"Blood count","f.30160.0.0",30160,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"719","basophill_percentage","Basophill percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30220",NA,"Blood count","f.30220.0.0",30220,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"720","eosinophill_count","Eosinophill count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30150",NA,"Blood count","f.30150.0.0",30150,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"721","eosinophill_percentage","Eosinophill percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30210",NA,"Blood count","f.30210.0.0",30210,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"722","haematocrit_percentage","Haematocrit percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30030",NA,"Blood count","f.30030.0.0",30030,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"723","haemoglobin_concentration","Haemoglobin concentration","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30020",NA,"Blood count","f.30020.0.0",30020,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"724","high_light_scatter_reticulocyte_count","High light scatter reticulocyte count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30300",NA,"Blood count","f.30300.0.0",30300,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"725","high_light_scatter_reticulocyte_percentage","High light scatter reticulocyte percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30290",NA,"Blood count","f.30290.0.0",30290,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"726","immature_reticulocyte_fraction","Immature reticulocyte fraction","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30280",NA,"Blood count","f.30280.0.0",30280,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"727","lymphocyte_count","Lymphocyte count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30120",NA,"Blood count","f.30120.0.0",30120,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"728","lymphocyte_percentage","Lymphocyte percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30180",NA,"Blood count","f.30180.0.0",30180,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"729","mean_corpuscular_haemoglobin","Mean corpuscular haemoglobin","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30050",NA,"Blood count","f.30050.0.0",30050,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"730","mean_corpuscular_haemoglobin_concentration","Mean corpuscular haemoglobin concentration","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30060",NA,"Blood count","f.30060.0.0",30060,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"731","mean_corpuscular_volume","Mean corpuscular volume","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30040",NA,"Blood count","f.30040.0.0",30040,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"732","mean_platelet_volume","Mean platelet (thrombocyte) volume","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30100",NA,"Blood count","f.30100.0.0",30100,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"733","mean_reticulocyte_volume","Mean reticulocyte volume","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30260",NA,"Blood count","f.30260.0.0",30260,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"734","mean_sphered_cell_volume","Mean sphered cell volume","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30270",NA,"Blood count","f.30270.0.0",30270,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"735","monocyte_count","Monocyte count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30130",NA,"Blood count","f.30130.0.0",30130,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"736","monocyte_percentage","Monocyte percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30190",NA,"Blood count","f.30190.0.0",30190,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"737","neutrophill_count","Neutrophill count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30140",NA,"Blood count","f.30140.0.0",30140,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"738","neutrophill_percentage","Neutrophill percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30200",NA,"Blood count","f.30200.0.0",30200,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"739","nucleated_red_blood_cell_count","Nucleated red blood cell count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30170",NA,"Blood count","f.30170.0.0",30170,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"740","nucleated_red_blood_cell_percentage","Nucleated red blood cell percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30230",NA,"Blood count","f.30230.0.0",30230,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"741","platelet_count","Platelet count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30080",NA,"Blood count","f.30080.0.0",30080,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"742","platelet_crit","Platelet crit","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30090",NA,"Blood count","f.30090.0.0",30090,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"743","platelet_distribution_width","Platelet distribution width","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30110",NA,"Blood count","f.30110.0.0",30110,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"744","erythrocyte_count","Red blood cell (erythrocyte) count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30010",NA,"Blood count","f.30010.0.0",30010,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"745","erythrocyte_distribution_width","Red blood cell (erythrocyte) distribution width","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30070",NA,"Blood count","f.30070.0.0",30070,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"746","reticulocyte_count","Reticulocyte count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30250",NA,"Blood count","f.30250.0.0",30250,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"747","reticulocyte_percentage","Reticulocyte percentage","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30240",NA,"Blood count","f.30240.0.0",30240,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"748","leukocyte_count","White blood cell (leukocyte) count","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30000",NA,"Blood count","f.30000.0.0",30000,"",NA,"2006-2010","Biological samples/Assay results","Blood count"
"749","creatinine_urine","Creatinine (enzymatic) in urine","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30510",NA,"Urine biomarkers","f.30510.0.0",30510,"",NA,"2006-2010","Biological samples/Assay results","Urine assays"
"750","microalbumin_urine","Microalbumin in urine","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30500",NA,"Urine biomarkers","f.30500.0.0",30500,"",NA,"2006-2010","Biological samples/Assay results","Urine assays"
"751","potassium_urine","Potassium in urine","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30520",NA,"Urine biomarkers","f.30520.0.0",30520,"",NA,"2006-2010","Biological samples/Assay results","Urine assays"
"752","sodium_urine","Sodium in urine","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=30530",NA,"Urine biomarkers","f.30530.0.0",30530,"",NA,"2006-2010","Biological samples/Assay results","Urine assays"
"753","close_to_major_road","Close to major road","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24014",NA,"Physical environment","f.24014.0.0",24014,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"754","inverse_distance_nearest_major_road","Inverse distance to the nearest major road","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24012",NA,"Physical environment","f.24012.0.0",24012,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"755","inverse_distance_nearest_road","Inverse distance to the nearest road","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24010",NA,"Physical environment","f.24010.0.0",24010,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"756","NO2_2005","Nitrogen dioxide air pollution; 2005","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24016",NA,"Physical environment","f.24016.0.0",24016,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"757","NO2_2006","Nitrogen dioxide air pollution; 2006","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24017",NA,"Physical environment","f.24017.0.0",24017,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"758","NO2_2007","Nitrogen dioxide air pollution; 2007","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24018",NA,"Physical environment","f.24018.0.0",24018,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"759","NO2_2010","Nitrogen dioxide air pollution; 2010","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24003",NA,"Physical environment","f.24003.0.0",24003,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"760","NO_2010","Nitrogen oxides air pollution; 2010","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24004",NA,"Physical environment","f.24004.0.0",24004,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"761","PM10_2007","Particulate matter air pollution (pm10); 2007","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24019",NA,"Physical environment","f.24019.0.0",24019,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"762","PM10_2010","Particulate matter air pollution (pm10); 2010","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24005",NA,"Physical environment","f.24005.0.0",24005,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"763","PM2.5_absorbance_2010","Particulate matter air pollution (pm2.5) absorbance; 2010","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24007",NA,"Physical environment","f.24007.0.0",24007,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"764","PM2.5_2010","Particulate matter air pollution (pm2.5); 2010","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24006",NA,"Physical environment","f.24006.0.0",24006,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"765","PM2.5_to_10_2010","Particulate matter air pollution 2.5-10um; 2010","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24008",NA,"Physical environment","f.24008.0.0",24008,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"769","road_length_sum_100m","Sum of road length of major roads within 100m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24015",NA,"Physical environment","f.24015.0.0",24015,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"770","traffic_load_major_roads","Total traffic load on major roads","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24013",NA,"Physical environment","f.24013.0.0",24013,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"771","traffic_intensity_nearest_major_road","Traffic intensity on the nearest major road","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24011",NA,"Physical environment","f.24011.0.0",24011,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"772","traffic_intensity_nearest_road","Traffic intensity on the nearest road","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24009",NA,"Physical environment","f.24009.0.0",24009,"",NA,"2006-2010","Additional exposures/Local environment","Residential air pollution"
"773","sound_average_16hr","Average 16-hour sound level of noise pollution","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24023",NA,"Physical environment","f.24023.0.0	",24023,"",NA,"2006-2010","Additional exposures/Local environment","Residential noise pollution"
"774","sound_average_24hr","Average 24-hour sound level of noise pollution","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24024",NA,"Physical environment","f.24024.0.0",24024,"",NA,"2006-2010","Additional exposures/Local environment","Residential noise pollution"
"775","daytime_sound_average","Average daytime sound level of noise pollution","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24020",NA,"Physical environment","f.24020.0.0",24020,"",NA,"2006-2010","Additional exposures/Local environment","Residential noise pollution"
"776","evening_sound_average","Average evening sound level of noise pollution","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24021",NA,"Physical environment","f.24021.0.0",24021,"",NA,"2006-2010","Additional exposures/Local environment","Residential noise pollution"
"777","night_sound_average","Average night-time sound level of noise pollution","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24022",NA,"Physical environment","f.24022.0.0",24022,"",NA,"2006-2010","Additional exposures/Local environment","Residential noise pollution"
"778","natural_environment_buffer_1000m","Natural environment percentage, buffer 1000m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24506",NA,"Physical environment","f.24506.0.0",24506,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"779","natural_environment_buffer_300m","Natural environment percentage, buffer 300m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24507",NA,"Physical environment","f.24507.0.0",24507,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"780","greenspace_buffer_1000m","Greenspace percentage, buffer 1000m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24500",NA,"Physical environment","f.24500.0.0",24500,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"781","greenspace_buffer_300m","Greenspace percentage, buffer 300m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24503",NA,"Physical environment","f.24503.0.0",24503,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"782","domestic_garden_buffer_1000m","Domestic garden percentage, buffer 1000m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24501",NA,"Physical environment","f.24501.0.0",24501,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"783","domestic_garden_buffer_300m","Domestic garden percentage, buffer 300m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24504",NA,"Physical environment","f.24504.0.0",24504,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"784","water_buffer_1000m","Water percentage, buffer 1000m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24502",NA,"Physical environment","f.24502.0.0",24502,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"785","water_buffer_300m","Water percentage, buffer 300m","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24505",NA,"Physical environment","f.24505.0.0",24505,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"786","distance_to_coast","Distance (Euclidean) to coast","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=24508",NA,"Physical environment","f.24508.0.0",24508,"",NA,"2006-2010","Additional exposures/Local environment","Greenspace and coastal proximity"
"788","population_density","Derived urban/rural using home area population density variable (from field ID listed in this row)","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20118",NA,"Physical environment","f.20118.0.0",20118,"",NA,"2006-2010","ACE/Recruitment","Reception"
